episode_name,date,loves,episode_number,comments_count,comment_username,comment_description,comment_likes,comment_dislikes,reply_username,reply_description,reply_likes,reply_dislikes
Be an Ally,"Jul 3, 2020",498,#98,32,sausage172000,"K, bye.",2,0,Rae M.,Those who can but don't vote aren't doing it to protest. There are many reasons not to vote for an imperialist capitalist pig.,0,2
Well That Escalated Quickly,"Jun 29, 2020",461,#97,14,ChaLucien,it's so weird to hit the like button. the comic is important and I appreciate how it's done. but like? I don't like this parent and I don't like what is going on.,12,0,Sketchywolfster,"Even if youre not old enough to vote, you may be eligible to work the polls on election day (and get paid) Check out pollhero.org",14,0
Stay Vigilant!! (Really can't stress that enough here!),"Jun 26, 2020",500,#96,20,WillowWhip,"It’s sad that I have to think this, but at least the video chat is going for evidence, in case things go as badly as I think they’re about to... :(",44,0,ooga__booga,thank you so much !! i’ll be sure to check that out,5,0
SUMMER LOVE,"Jun 22, 2020",460,#95,14,EmptyShadows,Not having supportive people around / being isolated in a potentially dangerous environment is hell,32,0,Shadow_Wolfie_,"It hurts me a lot to see all the pain that's happening, people losing loved ones, people getting killed just for being different, the current president being a stupid rasist asshole, people getting attacked because they are part of the LGBTQ+ Community, all the violence, and a lot more. I sometimes wish racism wasn't even a thing and people can love who they love without being judged harshly because of it. We are all human beings and ecpeciall during this time we should be there for each other.",6,0
More Pride!!!!,"Jun 20, 2020",574,#94,22,【hi • i’m • weeb】,"I swear sir if you hit her(?) with that fatass oxygen tank I will find you, gather a crap ton of angry supporters and run around your house like a cult",29,0,No.,"But, I was just wondering, was I wrong for being offended that they took the message wrong, and do I owe this person an apology? I admit, I told them delete their comment or else I'm deleting mine, but I didn't name call, I just said they missed the mark, especially knowing their was ANOTHER comment talking about their self love journey in a much better way (in my opinion)",5,0
PRIDE 2020,"Jun 12, 2020",674,#93,33,The_Wacky_Cartoonist,I thought biktarvy is for people with HIV?,0,0,No.,"Update: They just told me, and I quote ""I was trying to be nice but you're an asshole. Rot in hell bitch."" Keep in mind I was really trying to avoid telling them flat out that they were causing a fucking flare up by ignoring the amount of racism and stigmatism and bullshit I put up with in order to ""be darker"" but hey guess I'm wrong for hoping they stop focusing on what they aren't and to love themselves for what they are :p",6,0
And Now It's That Much Harder,"Jun 5, 2020",489,#92,9,shiftypixie,no sweetie! 😱,1,0,23 Rosies,I don’t think you were in the wrong. Especially that last comment. That really had no empathy behind it. That wasn’t even just lashing out. Just ignore them.,3,0
Covid and Mental Health,"May 29, 2020",499,#91,15,sausage172000,"Ah yes, I see this going swimmingly...",3,0,No.,Thanks y'all :),2,0
Class of 2020!!!!,"May 22, 2020",521,#90,21,Intentar,Ugh It’s so awful that some people can’t transition safely...,7,0,No.,No. hopefully a lesson LEARNED for Dewan.,10,0
Thanks Essential Workers!!!,"May 15, 2020",516,#89,9,nicazuela,Quick! Unplug him!,9,0,OverthinkingFox,That too.,7,0
Covid and HIV,"May 8, 2020",521,#88,10,Pok' L'ours,"damn, now I understand the previous episode",4,0,WillowWhip,Learning can still feel like shit. He can learn and still need a hug.,8,0
"Covid, Fear and a Little More","May 1, 2020",504,#87,11,RachelSassafras,💔 please be safe soon 💔,13,0,Sabinchen,"I'm just wondering if chewing sbd's ass down and slamming door is such a mature behaviour. She doesn't owe him therapy, but it doesn't mean that she should treat him like shit.",1,0
Covid and Abuse,"Apr 24, 2020",615,#86,18,IHatePopUps,Ah heck....,8,0,NekoMuffin,That's pretty much my motto (I usually say reason not explanation but still). It's such an important distinction.,3,0
WEED and COVID-19,"Apr 17, 2020",485,#85,14,Nillebille,"The fact that she removes her makup before comming home, sends red flags to me",10,0,ruindjarie,I agree and keep in mind that they weren’t boyfriend and girlfriend they had a different relationship,8,0
Sex and COVID-19,"Apr 10, 2020",602,#84,14,Intentar,"Worried about this new character, can’t wait to see how their story develops!",8,0,OcarinaOfThyme,Of course it’s still not her job to “fix” Dewan but I hope everyone uses some empathy on what has caused Dewan to act as he does and how that could easily be them.,3,0
Be Better!,"Apr 1, 2020",688,#83,24,【hi • i’m • weeb】,I suspect that Jonas (jr) is either this character’s (dead?)name or the name of a relative we haven’t met yet.,18,0,NekoMuffin,Or hopefully he gets a clue and does better with his next relationship.,2,0
Just Soap!!!,"Mar 26, 2020",591,#82,19,ruindjarie,I really love this series! It’s so real and informative,6,0,Jaeden_Dragon,True,0,0
Corona Virus,"Mar 20, 2020","1,365",#81,26,RandyBoar,Every episode highlights such diverse struggles. Empathy is so important in these times. You never know what people are going through trapped at home.,36,0,No.,THIS^,4,0
PUZZLE GAME,"Jan 27, 2020",433,#80,15,IHatePopUps,"Awww heck, overly controlling/abusive dad?",27,0,No.,"Especially since if Lily openly invited or told Dewan, that would be a HIPPA violation. But, she held no control or say in the matter, and sadly it's hard to prove she didn't tell him it was okay to come back. all anyone had was her reaction, which easily could have been feigned for her boss (sadly), meaning she still could face legal actions and loose her job, license, face fines, and/or jail time all because Dewan couldn't respect her. and that in and of itself proves that this was dangerously",2,0
Happy Holidays,"Dec 25, 2019",463,#79,3,oh_hey_there,"Good message! On behalf of my fellow healthcare workers, thank you for creating and sharing this!",41,1,No.,"reckless and entirely stupid. He personally knows how it feels to be in the back and uncomfortable, so why TF does he walk right in on someone else, in a medical setting no less. If he went to her house, she let him in, then walked in say, a bedroom, that's not great (NOT CONDONING THAT, IF SOMEONE INVITES YOU TO THEIR HOME PLEASE STAY WHERE THEY SAY YOU CAN STAY) but at least better than walking into a MEDICAL OFFICE.",2,0
More Good News!,"Dec 17, 2019",609,#78,10,prunzia,I missed you guys. Thanks for showing up about this,30,0,No.,"That's not even to mention the SLEW of medical issues that arise, since that patient could have been on droplet protection (meaning they have a disease like COVID-19) or have an airborne disease, or they could be immunocompromised and DEWAN could have given them something. Thankfully, this wasn't the case, but still. Plus he still could have traumatized them into not getting more help that they need.",2,0
SLAP!!!,"Dec 10, 2019",578,#77,15,Intentar,"I got my first dose a few weeks ago! These are legitimate concerns, but the science is backed up! Please get the vaccine if you have the opportunity!!!",28,2,No.,"All in all his actions were selfish and dangerous. (sorry to vent, but I agree so much with that!!)",2,0
Let's Take a Trip,"Dec 3, 2019",570,#76,11,meliherenow,"I got mine first dose yesterday. I was first hesitant because I was getting a lot of pressure from my boss to take it. I couldn't find availability near me. Second my exe was so against the vaccine making me putting more pressure. I wanted to get the vaccine at my own time, my lifestyle, and my convience. Especially since I'm a child care worker.",1,0,NekoMuffin,Vent away pal! I completely agree and it's a really upsetting situation.,4,0
World AIDS DAY,"Nov 30, 2019",560,#75,15,NekoMuffin,I'm getting mine on Wednesday! Hurray for being a grocery store cashier I guess lol.,1,0,IHatePopUps,It’s refreshing to see that people do think about these things.,3,0
Lord Give Me Guidance,"Nov 26, 2019",569,#74,31,Monavie,"Some brands have more side effects than others and if you have had COVID before, your reaction may be stronger to the vaccine so do your research. I haven't heard of anyone regretting getting it, though. Some people only have soreness for a few days and others have a high fever with hallucinations and feel sick for weeks. The latter had COVID previously. Also, the first shot isn't as bad as the second (and potentially third), but so far people say that the side effects are temporary & worth it.",0,0,No.,Plus the fact that the brother tried to justify what he did and (in my interpretation) dismiss how she felt...it really is not good. That alone would have gotten him cussed out if I was in her position.,24,0
Let's Start Over,"Nov 19, 2019",593,#73,8,Lovaboy Comics,"Wow. This is so unexpected! Thank you for making this comic😊 As a Black woman on the pro-science side of things, it’s been very frustrating to see so many in my community refuse the vaccine, knowing we’re disproportionately at risk for both contracting the virus when dying from it. It really troubles me because their reservations are valid, and I understand the hurt and distrust we rightfully have against big pharma. I just want us to be okay. Haha it feels like a lost cause some days. 😭",2,0,IHatePopUps,Brushing off that kind of stuff can result in it getting so much worse.,16,0
OH S#$%,"Nov 12, 2019",549,#72,7,Birdycan'tdraw🏳️‍🌈,I haven't gotten mine yet but I am looking forward to it!,0,0,nika,"the brother saying ""he is harmless"" doesn't seem (to me) that speaks for that one incident of showing up at her Job Place, but harmless in the broad sense , meaning that Dewan is generally not ill-intentioned or a jerk, but that he is immature and poor understanding of boundaries ... maybe the way boundaries were absent growing up, not having good mature roll models kept Dewan trapped in that childish behavior",12,0
GOOD NEWS!!,"Nov 5, 2019",606,#71,12,QueenaWilliams,"I got the vaccine earlier this year. I took Pfizer and my only symptoms was arm pain with headache. As a black woman I was skeptical but, i looked at how taking the vaccine would benefit the majority of society. Please do your research before talking it, it is not as bad as one might think. With medical violence towards black people I can understand the discernment",13,0,nashia25,Time for Lily to have a chat with Dewan.,5,0
What Would Jesus Do?,"Oct 29, 2019",597,#70,38,Jaeden_Dragon,I made a comment earlier and it had 9 dislikes. I think I said something wrong. I apologize and I’m not sure what I did but it was obviously bothersome. That was not my intent. I deleted it. Have a good day.,1,1,No.,"@Nika yes, that explains it, but it still is in no way shape or form an excuse or reason to allow that behaviour, especially since she is more concerned about that incident. To summarize, please see @NekoMuffin who explained it simply in a great way.(PT 1)",10,0
Someone's Having a Bad Day,"Oct 22, 2019",547,#69,7,Potato_Majesty,"THIS is the comic i wanted to read! Thank you author for showing that its ok to be wary of a new vaccine that just came out, when I mentioned to my doctor I wanted to wait to get the vaccine she said that was dumb and because of my being overweight I could die. Everyone i have shared my concerns with about why i am waiting to get the vaccine has made me feel dumb. I have had serious reactions to vaccines in the past, and as a young 20 something year old i would rather take my chances with covid",12,1,No.,"If Lily openly invited or told Dewan, that would be a HIPPA violation. But, she held no control or say in the matter, and sadly it's hard to prove she didn't tell him it was okay to come back. all anyone had was her reaction, which easily could have been feigned for her boss (sadly), meaning she still could face legal actions and loose her job, license, face fines, and/or jail time all because Dewan couldn't respect her. and that in and of itself proves that this was dangerous and reckless.",13,0
Well That Was Unexpected,"Oct 15, 2019",546,#68,10,animegirl11012,"I hate that my state doesn't grant access to the COVID vaccine unles you are specifically a healthcare worker or at risk. I get that there are limited supplies but I live with a healthcare worker and I'm constantly around hundreds of people a day, several of whom refuse to wear a mask even with a government mandate.",9,1,No.,"(Yes, I copied my same statement twice, mainly to keep my thoughts in order, so please excuse that :)",6,0
Mental Health Day,"Oct 11, 2019",609,#67,10,Pok' L'ours,what's unfortunate is how social media misinformation just lead to more paranoia and makes progress harder and harder..,11,1,No.,"His actions were entirely stupid. He personally knows how it feels to be in the back and uncomfortable, so why TF does he walk right in on someone else, in a medical setting no less. If he went to her house, she let him in, then walked in say, a bedroom, that's not great (NOT CONDONING THAT, IF SOMEONE INVITES YOU TO THEIR HOME PLEASE STAY WHERE THEY SAY YOU CAN STAY) but at least better than walking into a MEDICAL OFFICE.",1,0
A Day in the Life of Keisha,"Oct 8, 2019",576,#66,5,LateAtNight,"Missed this comic! A worthy comeback with an important message told, as always, in the most sensitive way it could have been said!",6,0,No.,"That's not even to mention the SLEW of medical issues that arise, since that patient could have been on droplet protection (meaning they have a disease like COVID-19) or have an airborne disease, or they could be immunocompromised and DEWAN could have given them something. Thankfully, this wasn't the case, but still. Plus he still could have traumatized them into not getting more help that they need.",1,0
Starting Off With A BANG!,"Oct 1, 2019",527,#65,16,pjhusum,"it has been a while, i hope you are during okay. I can understand if the times have been though, every thing is right now, but i was hoping that it would be okay, if i asked if you could make an episode about why it is important to take care of your self during lockdown, and how the corona is affecting the mental health, i feel like it is affecting me a lot.",2,0,No.,"Honestly, the more I think about it, the more dangerous and SELF CENTERED Dewan's actions become.",1,0
Get Up Get Out and MOVE!!,"Sep 28, 2019",538,#64,6,"Hi, I'm Leaf","Hi, it's been a little while since you updated, are you okay? Is it writer's block or mental health time, or is the series not continuing? Your work is very important to us but you are more important. Take your time but I'm just checking in.",2,0,nika,"I get how sensitive the information is, although Dewan is anonymous to the patient, it might be scary not having control over when... how and to whom the patient wishes other people know about his health",10,0
"We've Got Love, We've Got Drama!!!","Sep 27, 2019",454,#63,4,【hi · i’m · weeb】,"Use protection. Or not, but protection is usually better.",4,0,IHatePopUps,Exactly!,4,0
WE ARE COMING BACK!!!!,"Sep 23, 2019",464,#62,4,stefhaas,"We're still here and we're still queer. 2020's been a crazy year. But there is no need to fear. Because wherever you are, you are loved, my dear. (Hope you enjoy the silly little poem and take all the advice of this amazing comic. I'm sending all my love to all of you. 💜)",19,0,No.,"If Lily openly invited or told Dewan, that would be a HIPPA violation. But, she held no control or say in the matter, and sadly it's hard to prove she didn't tell him it was okay to come back. all anyone had was her reaction, which easily could have been feigned for her boss (sadly), meaning she still could face legal actions and loose her job, license, face fines, and/or jail time all because Dewan couldn't respect her. and that in and of itself proves that this was dangerous and reckless.",8,0
Thank You FRIENDS!!!,"Aug 6, 2019",619,#61,19,Jaeden_Dragon,This is my only series that I check on to make sure I didn’t miss an update. It has super important messages and a great realistic storyline. Thank you for this.,13,0,No.,THANK YOU!! Glad to see I'm not the only one noticing the patient there too,16,0
Everyday PRIDE!!,"Jun 30, 2019",550,#60,3,catwoman1199,i really hate how so many people in my life dont see why voting is important. im tried of having that conversation over and over again. im just ganna show them this comic.,47,1,LateAtNight,"of course he means well!! but intentions dont matter if you dont respect boundaries. a no is a no, and the best thing you can do to change that is wait and listen to what your partner / fling / friend / etc tells you, not try to actively make them change their mind. that doesnt work + its disrespectful",7,0
It's Really Not a Big Deal,"Jun 27, 2019",631,#59,18,AshalaWolf,"I was always told ""your vote may not seem like it counts towards much as 1 out of millions. But think of it this way, your vote cancels out a vote for the other side. And that can make all the difference in the world.""",36,0,No.,"That's not even mentioning the fact he needs to respect the patient in the room. it's one thing to come in during a lunch break and be a pest, it's another to walk in on a medical professional giving care and guidance to a patient. what happens if they had something worse than HIV, that was transferrable through the air? what happens if worse, HE had something (like COVID-19) that he can transfer to a patient that has a bad immune system?? That whole action was dangerous, stupid, and (1/2)",15,0
PRIDE MONTH with TESTED!!!,"Jun 21, 2019",486,#58,5,ooga__booga,"vote if you can, i heard they aren’t taking mail in ballot anymore but you can still go stand in lines. my mom and i sit at voting places and encourage others to vote. if you’re like me and you can’t vote yet, encourage others to and participate in other ways !!! vote vote vote",25,0,No.,Violating for both the girl and the patient. Pro-tip for anyone like this kid: DON'T. GO. TO. THE. BACK. IN. A. MEDICAL. BUILDING. WITHOUT. EXPLICIT. CONSENT. OF. BOTH. DOCTOR. AND. PATIENT. Something he did not have. I'm sorry for going off but jeez that part really sent blood boiling. (Pt 2/2),13,0
We'll Be Back Soon!!!,"May 24, 2019",433,#57,7,Monavie,"I like that you mentioned the other offices that are voted for. My vote doesn't always count towards the President because as an Independent, I don't always vote the way of the majority of my state, but it can count towards props and other offices.",0,0,Birdycan'tdraw🏳️‍🌈,"Yeah... I think he had good intentions, but he really screwed up",7,0
"No Judgement, It's Easy!","May 17, 2019",585,#56,4,Nuage Laboratoire,text,0,0,νεφρίτης,congrats! I'm early as well,1,1
Hepatitis C Awareness,"May 10, 2019",548,#55,8,happycat(:,"everyone on the internet: go vote now!!! me, a 16 year old who doesn't live in america: ...",3,0,kimoracupcakes2005,He’s adorable 🥺,0,0
Say It Loudly?,"Apr 30, 2019",567,#54,6,QueenaWilliams,Please everyone protect yourself this election period. Stay safe!,1,0,WillowWhip,Frankly? A lot of consistent practice.,2,0
Never Ending,"Apr 25, 2019",591,#53,9,astral.distress👻,"I heard someone say recently that voting is like taking the bus; it won’t take you directly to your front door, but it will take you in the direction you need to go- & you can make it the rest of the way home with a bit of effort. There will never be a perfect candidate, because politicians are mostly rich white dudes & they don’t feel relatable to marginalized voters... but sometimes we gotta vote for what comes closest to our beliefs, & then do the work to make it to our true destination ❤️",5,1,Davi Santana,I literally said that in my head. Thank you,2,0
Grief and Temptation,"Apr 18, 2019",581,#52,10,Shai Watermelon,I think his might have loaded out of order. 👀,2,0,klanceklance,This Needs To Be “Top Commented”,6,1
Quick Pause,"Apr 11, 2019",563,#51,3,Sophia Day,I’m living overseas at the moment and I worked really hard to get my vote in because it matters hugely. It sucks that there is so much movement against mail-ins this election,5,0,SummerOpal13,@KlanceKlance Thx,3,0
Tragedy,"Apr 4, 2019",624,#50,18,k.n.r.k.,Forget lines. I used my state's long-established mail-in system & dropped my ballot off over the weekend.,2,0,Jaeden_Dragon,Haha I didn’t even see that until u pointed it out lmaooo,2,0
Let Her Know,"Mar 28, 2019",616,#49,8,mickiressa,Got my vote in. Get out there and vote people.,9,0,19danny15,She was the cutest,1,0
Not Great News,"Mar 21, 2019",601,#48,3,StressEatingBread,"“That’s Bobby Kennedy, dumbass”",11,0,potat salad,even the kids know trump's an idiot,1,0
Help!,"Mar 14, 2019",628,#47,10,Faith_2003,In all honesty I respect “the other side” more than I can respect no voters.,5,1,critical buttface,😔✊ yep,2,0
It Doesn't Have to Be This Hard,"Mar 7, 2019",608,#46,13,lioxgirl4020,"Im a bit worried for after the elections, my Aunt said that whenever we figure our who's president there will be riots from either side. Do you think this will actually happen and any advice if it does?",10,1,ThePotatoRabbit🌈,My sexuality: expressed by lesbian TikTok,1,0
Yep! It's That Simple,"Feb 28, 2019",610,#45,27,mickiressa,To each their own. At least he stuck to his truth and walked away.,11,0,BallOfBoredEnergy,it do be like that tho😔✌🏾,0,0
Time for Treats,"Feb 21, 2019",594,#44,22,potat salad,Kudos to the guy with the bun for saying no when he needed to,41,0,happycat(:,I agree with all of this. Children all over the world are suffering and it scares me that I see almost no one speaking up.,1,0
One Person Can Be Many Things,"Feb 14, 2019",634,#43,10,【hi · i’m · weeb】,Good message. Weeb approved.,11,1,TESTED ( YGetIt.org),Yep. Real human children. ;),14,0
Lay It Out For Me,"Feb 7, 2019",623,#42,10,Kayla167,"I watched a video about meth addiction on YouTube (the channel was “cracked”) and it was really informative. Sex on meth is actually harder to do, one person mentioned ED. It’s important that we destigmatize meth use, because so many “normal” folks use but are afraid to seek help. People with jobs, families and lives use meth but it’s not who they are. We tend to view meth users as dangerous, extreme, and on the edges of society.",29,0,NekoMuffin,Children are pretty much always smarter than we give them credit for,7,0
Sooo It's Not About Football?,"Jan 31, 2019",633,#41,13,loveallthis,"This reminds me of a friend who has been through a lot. i want to share this with him and remind him i love him and the struggles hes gone through, but i also dont want to trigger him or bring up any thoughts he might not want to have. idk... anyways. this is important stuff.",13,0,FireArcher88,@NekoMuffin oh I completely agree,1,0
Solution or More Problems?,"Jan 17, 2019",701,#40,17,AltoSaxy21🎷,"You can’t control the decisions of others, but you can let them you’ll be there for them.",32,0,TESTED ( YGetIt.org),"The wire brush refers to inserting a swab, NOT A WIRE BRUSH, into the urethra for an STD test. The test uses a small cotton tipped (or similar material) swab inserted into the opening at the tip of the penis. That swab is then sent to the lab where they test for gonorrhea or chlamydia infection. Visit this link for more about STD testing. https://smartsexresource.com/get-tested/tests-and-exams",7,0
How We Got Here,"Jan 10, 2019",691,#39,28,o.o😱😱,This tells some true shit!😔,9,0,Jaeden_Dragon,Wait I was confused by that what happened there,0,0
Season 4 Shadowing,"Jan 7, 2019",620,#38,10,Welp...that happened,"I’d be out of there me too, can’t handle the smell of smoke...",8,0,lowskii,Since he’s a virgin he didn’t last very long😭,7,0
HAPPY NEW YEAR!!!!!,"Dec 31, 2018",570,#37,19,klanceklance,"""I'm a trans-black woman so it should be obvious"" lol I love you-",7,1,Monavie,"He was a virgin so it felt so good that he hadn't learned how to hold back from finishing yet. The more times they slept together, the better he got at it and the better he was able to refrain from finishing so quickly. I love how patient and kind she was and how he didn't get embarrassed and rage quit. Good for both of them! 👏",2,0
A Tested Holiday,"Dec 24, 2018",643,#36,12,LateAtNight,👏V👏O👏T👏E👏👏👏👏,3,0,0kojo,Google sama is your friend.,6,0
Things to Consider,"Dec 20, 2018",745,#35,23,Loryoo,Thank you for this! Thank you for speaking truth and sharing facts!!,4,0,No.,"Another example THAT REALLY NEEDS TO BE NORMALIZED, BECAUSE I'M SICK OF MY SEXUALITY BEING ERASED BY QUEER FOLKS, Pansexuals/Bisexuals supporting Lesbians/Gays and vice f*cking versa. We exsist. Bisexuals Literally Have A Letter In A Well Known Acronym. Don't treat us like we're ""transitioning from straight to gay"" or ""confused"". Just like our bisexuality/pansexuality does NOT get erased when we enter a relationship. Also: ARO/ACE FOLKS ARE VALID.",9,0
Work With Me Here!!,"Dec 13, 2018",715,#34,14,ai(ﾉ°_o)ﾉ⌒┫ ┻ ┣,it sucks i can't vote yet,2,0,astral.distress👻,I’m embarrassed now that I ever dated him haha... How the heck do you get all the way into a relationship before you find out that your partner is a bigot?? I’ve got screening questions in place now 👍,6,1
No Punches Held,"Dec 6, 2018",774,#33,22,k.n.r.k.,My state has done mail-in voting for a long time & it's so amazing to be able to vote when I want and take time over my ballot. It's incredibly frustrating to hear the process being attacked.,5,0,No.,"Oof, might need to send me those. My last ex brought me home to meet his parents and they called me a slave and the n word. He talked bad about my friends who are black, and said that I was an Oreo (since I acted so, to quote, ""white"")",5,0
WORLD AIDS DAY!!!,"Nov 30, 2018",749,#32,30,Faith_2003,Not voting isn’t a protest!!,7,0,No.,"Interwoven, imma throw some hands. Don't be a backhanded ally. Don't equate struggles. Don't try to act like different oppressions are only a one at a time issue, and don't ask someone to choose which oppression they care about more. Sincerely, someone who faced multiple forms of oppression",24,0
"Cute Baby, But the Nurse Sucks!","Nov 29, 2018",766,#31,23,ChaLucien,let's be thankful that we Can vote. Let's use our rights to vote! it's not so long that woman or people of color had to fight for this right. let's thank their fight and VOTE!,9,0,No.,"I feel like you are speaking from a position of privilege Jamie, to which I say with any and all respect you are due on that statement (which is absolutely none at all) STFU. People like you are the reason we still have to fight.",4,0
